代码,部门名称,农产品,林产品,畜牧产品,渔产品,农、林、牧、渔服务产品,煤炭开采和洗选产品,石油和天然气开采产品,黑色金属矿采选产品,有色金属矿采选产品,非金属矿采选产品,开采辅助活动和其他采矿产品,谷物磨制品,饲料加工品,植物油加工品,糖及糖制品,屠宰及肉类加工品,水产加工品,蔬菜、水果、坚果和其他农副食品加工品,方便食品,乳制品,调味品、发酵制品,其他食品,酒精和酒,饮料,精制茶,烟草制品,棉、化纤纺织及印染精加工品,毛纺织及染整精加工品,麻、丝绢纺织及加工品,针织或钩针编织及其制品,纺织制成品,纺织服装服饰,皮革、毛皮、羽毛及其制品,鞋,木材加工和木、竹、藤、棕、草制品,家具,造纸和纸制品,印刷和记录媒介复制品,工艺美术品,文教、体育和娱乐用品,精炼石油和核燃料加工品,煤炭加工品,基础化学原料,肥料,农药,涂料、油墨、颜料及类似产品,合成材料,专用化学产品和炸药、火工、焰火产品,日用化学产品,医药制品,化学纤维制品,橡胶制品,塑料制品,水泥、石灰和石膏,石膏、水泥制品及类似制品,砖瓦、石材等建筑材料,玻璃和玻璃制品,陶瓷制品,耐火材料制品,石墨及其他非金属矿物制品,钢,钢压延产品,铁及铁合金产品,有色金属及其合金,有色金属压延加工品,金属制品,锅炉及原动设备,金属加工机械,物料搬运设备,泵、阀门、压缩机及类似机械,烘炉、风机、包装等设备,文化、办公用机械,其他通用设备,采矿、冶金、建筑专用设备,化工、木材、非金属加工专用设备,农、林、牧、渔专用机械,医疗仪器设备及器械,其他专用设备,汽车整车,汽车零部件及配件,铁路运输和城市轨道交通设备,船舶及相关装置,其他交通运输设备,电机,输配电及控制设备,电线、电缆、光缆及电工器材,电池,家用器具,其他电气机械和器材,计算机,通信设备,广播电视设备和雷达及配套设备,视听设备,电子元器件,其他电子设备,仪器仪表,其他制造产品,废弃资源和废旧材料回收加工品,金属制品、机械和设备修理服务,电力、热力生产和供应,燃气生产和供应,水的生产和供应,住宅房屋建筑,体育场馆和其他房屋建筑,铁路、道路、隧道和桥梁工程建筑,其他土木工程建筑,建筑安装,建筑装饰、装修和其他建筑服务,批发,零售,铁路旅客运输,铁路货物运输和运输辅助活动,城市公共交通及公路客运,道路货物运输和运输辅助活动,水上旅客运输,水上货物运输和运输辅助活动,航空旅客运输,航空货物运输和运输辅助活动,管道运输,多式联运和运输代理,装卸搬运和仓储,邮政,住宿,餐饮,电信,广播电视及卫星传输服务,互联网和相关服务,软件服务,信息技术服务,货币金融和其他金融服务,资本市场服务,保险,房地产,租赁,商务服务,研究和试验发展,专业技术服务,科技推广和应用服务,水利管理,生态保护和环境治理,公共设施及土地管理,居民服务,其他服务,教育,卫生,社会工作,新闻和出版,广播、电视、电影和影视录音制作,文化艺术,体育,娱乐,社会保障,公共管理和社会组织,农村居民消费支出,城镇居民消费支出,政府消费支出,固定资本形成总额,存货变动,出口,进口,总产出,
48102a,铁路、道路、隧道和桥梁工程建筑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656684499,0,1697401,1084219,657297681,
48102b,其他土木工程建筑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310294108,0,781280,499045,310576343,
49103,建筑安装,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294842564,0,462350,295327,295009587,
50104,建筑装饰、装修和其他建筑服务,384032,17818,243235,94462,28319,136713,28483,9694,10325,19537,5925,8230,10380,7703,3154,15361,4199,24976,4599,8204,8788,38818,33672,13376,4789,29006,55320,1611,4660,8474,53302,57222,14003,32124,45962,86662,42382,34106,15561,13816,35192,14973,118980,14762,10239,12957,77862,79923,8110,62322,16624,20819,72919,21965,30577,26953,29421,15584,16190,21987,2058,86299,7188,34155,44613,112818,27414,14675,30543,32173,51454,4057,150219,25756,39359,6111,13265,40199,55945,83942,16485,17501,13408,38025,59712,8679,10159,37125,26423,52518,205533,4083,5832,359123,10992,29328,25671,41228,22738,2679713,28595,75523,38697604,5568719,33405403,14385087,6021868,4698946,627052,860098,10741,451736,334109,433970,27,2678,6835,54607,31588,59098,300780,329118,554793,346872,640705,67041,235192,6664,4551,2295307,177098,17595,14193938,43921,401873,424335,215457,299160,298013,132763,622443,366251,162652,3319541,873660,197948,93565,324462,293574,96455,185509,58505,9764740,0,0,0,81042691,0,415996,265718,231185611,
51105,批发,6404044,460819,5944232,1719018,1106931,3958799,598653,623977,647348,1289731,502992,3045956,3329221,2349024,242816,9206880,3454230,2844545,1134851,1959243,972956,4114412,2696930,1729207,501660,2364008,7222656,1120439,782026,1353964,3082454,9131529,4074814,3149534,4872486,3359194,3802883,2376792,1479277,2828109,6274112,1118244,5245863,1634324,816205,1898099,4287958,5198432,1013331,10056561,1956885,2120892,6703934,3666846,10981024,4499625,2620054,1834073,714190,1601145,1257390,13855275,899328,5313066,6411712,15800871,1984466,2434997,3468823,3830594,2986965,625203,5507738,5357384,2064956,953114,1573199,4250410,13088883,13625997,2541322,1582025,3517310,3738186,10613502,4628379,2580360,6255196,2337392,8210979,10730656,1416552,1936597,15762624,1819481,3039488,1392501,137837,841722,11064082,1504014,309169,50787989,8536105,19563619,9896215,8760149,8006333,4217984,2158285,267178,582106,2738125,4310142,18516,981648,455458,483173,77849,2204211,1324036,1314145,1572262,13235721,1640231,120425,1377095,2844198,1852676,1684389,264607,362820,1466364,808438,14628856,3954336,5870093,1336561,150432,279677,1268925,1242704,3014596,2609440,16744714,107860,493103,321984,287053,82547,1022742,33701,4601142,24579123,77625628,0,55849330,5608720,93390871,0,856346813,
52106,零售,5029217,208185,8218949,2103949,1249998,2078988,176739,409923,395016,771185,308009,4275072,3968945,3307852,308129,6372483,932765,3887218,1440957,1650467,1369457,4995759,3299594,2289904,685361,2957981,2177632,465772,303340,948309,1310908,5873103,4265159,4156679,9128080,6592811,7125885,5279344,950059,3932143,2926207,567336,3344878,746970,272179,1126522,2727160,3479492,1417086,9846595,801814,2619234,8273053,1473307,1195122,1741517,3867579,1531688,281199,1083263,221570,1740801,114270,1243009,514304,6375044,529169,680310,1200619,1014381,980423,429424,2014056,1504979,690204,555247,826221,1820503,13643995,13752031,593387,360411,1974919,752060,2502609,2297096,1317856,4447717,1253609,2685863,5466347,430754,974254,4405212,865214,1729300,1136032,175167,322911,4387574,797887,256456,16275202,2840447,5587978,2581079,2249804,7994952,3398697,1451191,110049,221968,3386242,7276323,34645,1064511,596128,531172,91161,4209222,1635804,1542713,1783581,11444178,1340197,93869,1212916,3396006,1995300,2535406,404923,483425,1845169,1021838,18408975,3356558,5143411,1547423,151110,278019,1356933,1814019,2411789,3761952,17255171,138476,734507,421616,395086,132790,946800,40659,6944976,26878389,88897085,0,29071820,2736834,85200667,0,642167886,
53107,铁路旅客运输,585076,50814,150073,200090,133119,36635,9937,2689,9112,34320,27614,64446,119130,18073,901,25308,10628,45460,29086,11055,11280,66893,52982,24445,15733,16175,87968,4821,3563,22787,56338,200029,26862,48212,109073,72241,34449,62166,20197,42183,11794,6585,34506,19100,16642,44379,23711,66176,22687,979121,10167,36708,106798,9014,135549,67684,48477,66668,17317,26155,5978,61717,7557,23568,24230,299325,28240,11123,65019,82680,24883,7088,62011,90763,46779,28595,103562,327364,63880,150744,34286,8736,30982,79935,193003,77372,28959,56944,25724,37959,175611,6050,14113,101174,32169,155784,26069,11317,28006,75904,8129,6845,535571,54299,304061,145700,234623,299726,1642207,761163,5161,14746,55218,55118,347,6077,41514,2109,36220,56419,154225,17631,50982,150800,99207,13902,654043,563155,243792,230802,90972,46896,379841,97224,1832048,436918,2651563,883102,34074,19526,70438,305170,182348,2397586,143707,2595,19669,48463,52040,79296,39245,3963,1364861,1577800,5064640,396345,0,0,114506,966710,30818320,
53108,铁路货物运输和运输辅助活动,2690892,157224,497166,181138,131196,1489778,64971,197722,99792,231983,32237,210834,224319,136796,24828,163998,38058,196763,134459,129147,83736,309393,174082,108341,31741,68189,253619,19842,28448,41695,103879,156637,91601,95572,247718,160013,360908,165270,141701,183703,517122,926798,1103761,658387,123462,276117,642050,631898,82892,476485,246607,211421,729179,807661,577621,860577,288460,381357,211193,353595,510466,3455560,377426,1693583,1389174,1117933,71867,81489,130139,195587,210821,18929,543638,222514,106759,37465,297284,653074,403246,556245,149076,32360,111497,170406,353508,405543,225138,167537,119225,106954,131343,26820,56754,324694,47486,116766,80915,36915,40484,3817298,171723,22487,1701670,305645,884446,451616,247707,246824,2688645,632262,2708203,4116611,71575,177398,1302,41571,19904,19581,9921,1597432,797061,98931,39338,358816,20247,2344,36688,21931,37745,39212,5888,5568,35995,47533,368854,169700,223709,51716,8079,36927,75617,75682,68420,132545,771309,7742,16296,18234,18492,4069,27343,824,137471,808666,2534601,170297,1646957,31413,2630463,188534,66070662,
54109,城市公共交通及公路客运,657468,51918,213048,316016,177344,52797,5020,9521,16283,81096,43955,82113,114824,22518,3358,39100,21395,49345,39711,24424,17389,78309,55450,44561,24332,23089,142265,7239,6940,18226,46249,620998,40572,72426,117260,148363,59653,56769,31850,66673,8524,11664,39201,22609,17859,59993,49660,108328,77709,1077188,16161,46769,176033,18571,297423,101106,61849,74080,36763,42279,3071,58068,5424,24748,28643,385641,29903,18724,95557,67598,42655,13589,113285,84993,62715,27136,82251,282308,70216,167537,24094,9412,49384,77461,232417,119948,23351,86230,41304,70853,489953,8179,15562,144960,29973,258194,42595,16631,12929,1164030,10119,17890,1160144,117622,213764,102431,292195,330692,5101579,808070,12092,34552,633936,66213,540,6964,129681,3453,32589,164310,120685,52836,962726,4923690,405673,30208,561913,345737,1286752,3849688,288598,689222,1852488,554687,28480008,1478677,3500528,2003317,253848,141031,1468786,1328935,913411,1367299,4915915,72176,581151,520483,302630,150646,646406,67742,9428485,5770050,17187777,21423465,0,0,387126,3483569,134695217,
54110,道路货物运输和运输辅助活动,4300522,772658,2625544,1039374,662239,1716396,276172,338781,281738,788955,151604,2083261,1665590,1304390,189918,2605922,1014407,1671366,468207,760908,450429,1776584,930427,907875,307069,788132,2721344,303980,264761,385014,956047,2636761,1322631,974587,2195249,1313163,2125676,996706,452464,967267,996252,646722,2467275,884241,417956,850491,1711718,2361741,446597,3244532,667892,845730,2330598,1656770,4055980,1702891,1077171,934702,492637,672142,693811,5682715,486951,1589061,1431695,5374143,592340,533451,899937,1070027,877499,128839,1911059,1414701,654004,292785,839422,1960177,3808830,3513051,439541,252885,776001,912231,2241675,1266507,707694,1749866,451558,717919,1045044,171170,275299,2064948,291134,650221,401217,228560,170476,2652697,160884,130014,17780900,2818841,7562412,3259165,2992732,3099440,16038759,10588776,57258,338802,5763555,21763666,2343,88835,81352,84631,46257,36502362,6963938,8808805,328616,3949446,293269,17340,248163,285362,259671,335867,51354,61083,323845,428201,4179421,3082603,2480646,348664,52041,169909,525044,452101,904718,2076628,3140266,41786,124707,140225,111574,25303,239886,47396,2704666,9852093,46138092,14932939,13571376,1604495,18247692,166947,403722569,
55111,水上旅客运输,33348,3395,26084,8685,25732,5568,110,54,1042,2945,692,4090,308,1016,132,4178,656,13931,728,72,35,1690,6630,4343,138,862,14825,442,48,58,700,12882,6380,3380,6932,4875,2541,60,1539,2760,27,2115,10435,8394,1336,7574,159,9702,1945,106909,707,12069,9827,460,10195,19676,5242,740,1184,470,45,2345,41,1434,3172,59057,1059,2463,8074,3678,659,73,3733,20767,11568,4794,7048,9732,2434,697,367,3435,998,2646,14105,18170,2465,2916,7120,1706,2747,170,20,6653,185,17090,5731,2177,1188,3811,9,703,177589,18005,9108,4364,19181,13014,7037,4095,17,49,702,672,18,671,441,126,5,419,1315,3738,1120,334,419,94,12311,27140,3293,42199,1414,238,1008,1746,13969,41144,118847,11500,17357,49,251,2069,9716,153806,5569,318,1111,7568,5131,6447,687,208,78594,219208,463920,0,0,0,61965,247247,1974406,
55112,水上货物运输和运输辅助活动,852088,158757,124597,131535,74566,340194,39883,55564,39009,134433,16253,92107,95381,84110,12892,56504,109784,112784,53648,57363,40144,152509,73435,103884,21033,34420,222082,8703,14551,38928,105958,255261,65507,102621,190585,116565,277281,132529,47251,115688,224783,166819,428593,231754,51409,128557,301567,342765,57896,269409,118135,129940,433546,244241,537973,280427,148984,148572,63454,105234,101238,892590,74874,183792,119260,704639,47057,32212,104764,105229,148243,15831,393032,146747,72974,25479,258604,554801,407813,433656,40942,48062,62992,102641,261495,144217,75513,206754,46626,83226,101640,15606,42844,230340,33231,75559,37706,27436,19553,501362,131744,14117,893086,150724,421229,214486,142605,124906,7632210,1028290,1429,4818,200445,68930,526107,3633562,4855,6224,7667,8979256,2905092,10698,19349,236518,8692,1173,24138,17333,31183,19470,2894,2222,34298,74847,499794,556886,403472,33144,6719,26208,44703,49577,126110,49138,77640,2103,13254,10584,11785,2328,8988,232,85821,253534,1152988,2835104,627376,23389,23428923,1242947,72816476,
56113,航空旅客运输,227853,29789,60521,171021,61646,8710,16251,4755,7805,23093,15067,16897,53525,5139,762,9755,10167,19223,11119,14200,6379,40486,18492,16270,11562,23638,55231,3739,3705,7304,32575,202032,22819,53043,60986,59772,37778,36315,17950,33270,15964,2368,42400,13808,6616,27436,30201,48883,23221,535136,8928,31682,91135,9384,46021,60959,35506,47970,6055,26678,1136,20641,4051,18102,21393,253933,32062,12170,44226,62034,27042,7909,75793,40509,53718,9479,88140,230478,282457,160631,40535,9052,21570,55800,159566,61986,22519,55728,19364,77077,258672,7056,24257,101702,27199,93483,21720,4777,15612,311971,13169,9353,639969,64884,405602,194356,108463,262157,1075527,312415,2342,6692,39325,48497,513,10289,31427,11821,14296,108060,68771,7526,30675,153206,250979,13999,891595,652630,250744,754925,325200,175254,696365,48637,11584341,1536390,1729404,787692,19684,23543,84129,210379,203922,4023912,134602,4647,33196,288502,123396,123418,56286,11990,8267885,3881067,5616142,0,0,0,3739180,28551213,27068708,
56114,航空货物运输和运输辅助活动,138048,64350,46408,49386,31536,44803,8876,7619,8154,26603,2803,16481,11924,8936,2616,10961,7238,18206,8310,13029,6431,24464,13040,21315,4454,11606,129348,6002,2799,28342,63840,179649,26767,58991,34403,27747,40144,23229,14151,30678,23358,18850,52507,24242,6092,18743,30814,48065,10394,104407,13453,19879,68222,30860,71700,32305,25897,25535,10392,18849,11771,95635,8884,31781,34532,120875,15611,19099,28619,40188,39771,8162,90291,39164,25331,7960,58064,129155,181320,189354,15307,6711,32742,35571,88009,44845,20969,59250,18838,87196,133877,14458,25558,198656,20174,36947,12341,5729,6106,45321,2879,3107,82343,11985,25569,12390,40165,22326,3076352,634634,795,1423,15344,38848,23,1883,3424547,3665032,2068,1285997,164006,3740038,4051,26828,15072,1069,14851,15164,18775,10943,1248,1260,7941,18672,152367,132705,111863,8709,1398,6387,12755,11325,46671,11602,171912,365,2684,3969,4175,798,2500,117,51888,86004,322614,1059831,451379,14498,12466661,177564,35357667,
57115,管道运输,38607,4109,8167,13646,24302,12573,16490,30671,32278,72695,14528,1305,2971,1022,189,945,1052,2119,650,844,518,2496,1222,1871,495,363,3635,905,691,662,3490,7330,1364,1860,11945,5928,7067,2119,4005,3172,4075795,3979,543153,62764,22993,39588,418085,156537,3474,8967,75448,5374,42922,40750,22839,74481,81271,46589,15841,61160,2151,19054,1676,113173,10723,57241,4370,3926,7221,8310,2686,327,20514,9926,6663,1684,3037,4458,14464,13623,2187,3420,5142,3042,10580,2051,722,2987,1917,6123,2177,182,343,4103,872,5042,3486,3216,5045,309504,682143,684,122442,17657,297147,138013,28815,27143,39819,18832,4548,23202,86025,579568,5965,185625,65688,63820,3654,459463,197230,39439,10206,5260,9472,975,6689,1495,1230,52222,7398,6746,27195,66332,276344,26304,181625,38586,4721,3996,13432,12621,9056,49579,3500,1448,1052,2344,2011,2051,925,243,81191,82642,486539,0,0,-125736,294468,0,11550763,
58116,多式联运和运输代理,648185,102962,196204,102667,125081,820927,115127,220026,132975,243128,92963,304434,272539,181982,53224,260058,163490,385248,179945,119104,173031,629577,297258,513112,75017,556189,3409253,210839,160455,702343,1589180,5097598,1348011,1301428,1261638,1181130,936228,567336,554827,1324430,1185546,219459,1515679,452988,216263,773030,2133900,1252309,198129,1615609,872893,1112985,5016403,511521,772573,826120,705569,491888,191063,274416,422356,3891838,337425,1865835,2198517,4478848,664930,420753,800643,696440,582409,136932,1131798,959698,479510,231956,371057,969200,3521360,3204781,559676,322414,744014,748497,1972260,1231584,553879,1026666,552320,1043374,1256818,218144,257206,2662604,318339,591474,438614,164469,174588,1844665,203068,108027,7611931,1246441,3302844,1608001,1818019,1470586,277149,262923,103316,692273,408041,792602,21767,1708676,169708,451477,35306,4746145,1500935,3398536,302881,1615639,242986,20274,500234,281893,161554,702910,96922,101705,442784,945082,4593404,1032898,1384319,280075,34696,155357,713187,799156,803367,668030,3176000,17797,71124,221848,219504,46190,194574,7900,1911898,4481523,18052579,107391,14301617,259225,23525373,0,205407055,
59117,装卸搬运和仓储,1429326,99202,785573,337276,119124,400839,61993,114083,96375,209640,37890,207753,370273,279831,22333,167984,443428,201646,85576,74576,78269,345750,205114,175915,55072,167281,334838,21254,23785,61123,131076,419944,305028,368188,388726,245468,437078,164894,92104,264823,1519639,152111,1049118,475496,150461,358975,1013219,875408,163769,525468,276440,338080,1192726,331451,569856,511031,310533,208835,60675,151096,208026,1570052,151967,367000,197421,828436,97743,128502,226722,183173,164725,25189,422841,274589,89529,79024,88601,194155,2479878,2559878,113717,44441,188590,136740,335011,203995,173880,312112,136339,131860,215514,33808,52104,448458,55120,163043,83941,39713,39353,655805,227397,46222,2153887,346159,851251,483480,328156,370671,6937524,5043557,40708,439844,2078258,9091143,83243,7346786,36537,72412,8209,4796735,2372428,1409537,100179,1038721,72803,8748,148990,50319,51584,97107,14225,18180,84673,209718,1216335,257562,403944,67335,12580,37799,165896,185222,332385,202806,585061,8520,35718,69291,24392,11288,62109,1463,374921,1485900,5308832,1810129,2313228,121778,4589637,0,100109356,
60118,邮政,1190861,79726,1641983,376480,267070,537394,47496,29976,38315,82156,24316,361748,375826,185809,25591,2060056,18835,273147,76966,398532,63511,407131,203788,215334,87963,64830,304538,186003,73435,28870,102374,439599,246667,278180,652891,369397,313455,113794,186473,309135,166584,290426,361086,176680,121538,126154,243895,436146,190098,2265996,107757,217413,527617,286180,614195,461765,195017,252144,71473,114796,68232,582352,52123,641610,1184980,1393208,187533,160430,199782,375735,151269,26552,371563,186633,169918,65847,134716,389075,1257145,1326116,91148,70106,175687,421493,849503,1324877,219118,396796,196362,206688,347016,73722,66063,666182,90731,326762,164623,25331,45454,1515475,79190,39610,3032610,518406,1184538,576296,251786,470868,12259151,14104749,10759,23393,227482,383140,883,11291,37609,21494,4506,349378,61751,7691218,259862,711650,636357,27441,1941585,1275028,662819,4614420,197785,600310,392593,155495,1694583,496059,1072528,124502,14684,40390,123072,271834,161682,1037800,2480896,8423,63275,25890,137460,39211,113433,96333,1730834,2108892,5049857,52211,1469029,858887,5625719,4297439,109580070,
61119,住宿,267259,36783,105169,174280,82930,118854,136341,54825,54654,85251,66972,28315,64839,10160,8584,68552,42787,150952,110257,59476,84287,69828,114289,205932,134405,111858,190859,29629,19621,52991,60104,179737,81498,137224,81404,79490,184283,125822,115750,114727,378389,79298,190161,91368,59002,108322,111689,71642,166671,560316,104191,107314,196600,81550,169244,74677,95904,117700,15494,101966,92951,1514942,71528,98940,175508,403836,112836,66401,78821,80466,53343,60414,156875,73181,126826,68658,126932,438119,386962,273491,142781,51653,112936,153520,236803,81691,43961,48274,27232,74550,313721,8431,15013,90448,38301,129977,21084,26740,18196,887097,13935,14836,718855,72882,480070,230040,248496,260131,1598894,785995,10085,69324,197403,437472,802,8021,114771,19890,29226,401907,200644,725668,30011,184815,310797,16808,813223,755296,396158,4567050,805609,4223199,1112226,92426,13525739,2791902,2266984,1919003,120611,20830,86717,313794,261512,3694212,374168,45667,284007,679245,547988,262135,46402,97524,22707901,1562437,10207971,0,0,0,1503233,14758975,82273888,
62120,餐饮,219081,239028,96002,202592,942455,643322,63259,200944,168900,277576,42312,177476,441498,68673,15658,121843,157361,456817,109743,94112,67018,878850,352245,285292,166242,424282,365699,26025,28510,60889,256588,557690,172054,170145,476640,496143,531760,557727,91697,232482,316555,84257,492611,144875,57306,249297,235961,942907,283163,3406786,190410,173195,917654,317668,942986,505591,322433,956132,139006,226880,136037,417055,181831,446797,312024,2490422,279973,335044,435177,521895,136146,29762,385882,797030,385046,114617,500660,844062,1208858,1014940,256818,64998,208794,481373,1432413,456022,176106,487293,179072,244730,1011605,247882,85008,1148893,448572,714630,173250,100869,212965,1164118,210805,181837,7045085,1093571,2135257,1023173,1043974,532873,2652711,2152542,41898,119723,2643511,7545429,5315,139290,536294,961518,27738,6041522,851455,695847,151305,573413,491891,82104,1020747,1464232,538953,7781215,1777596,9297133,3076571,308485,32124060,6713563,10122040,3534338,248885,190003,704687,1258911,1527982,8988354,1438458,128922,444939,1858443,326703,403522,251116,335950,13641833,25069726,145853146,0,0,0,1202721,13008415,349715873,
63121,电信,250582,71363,22714,156652,515074,74370,35448,69601,23900,40020,9818,20035,52490,13205,5064,22773,16675,76165,16359,17638,17253,80348,57383,29417,27347,46863,90706,7281,5643,18049,55833,161092,25996,59884,102770,72353,102820,93354,44174,41757,50447,12993,163002,22720,10839,47911,46860,108918,42141,335287,28759,31989,164250,46221,132646,77614,87533,195192,30264,26946,16966,95051,11031,73723,64835,467270,42269,44519,109768,126955,35274,10972,66283,95816,80573,38237,91098,166151,165558,167837,26603,9211,34317,63090,198794,73242,40565,182678,65569,213478,534949,39549,24166,298272,65291,147798,23686,25322,41213,1366745,74776,73005,9899331,2351249,497253,286147,270303,145608,732883,1347743,496154,705571,269909,361928,32998,1390975,149232,49592,3223,197935,770622,2108189,681689,326054,17003302,152304,18322712,12692881,10301858,4786179,1030558,3650397,2571665,103894,2655354,544483,1393398,905006,214135,37124,120253,402114,140174,4947252,5022042,43003,125321,370474,461206,71851,40791,81543,23239821,15131919,54243806,0,0,0,1414493,1630036,213571172,
63122,广播电视及卫星传输服务,880,499,111,1190,3055,836,583,1189,198,367,78,161,420,55,61,235,137,564,64,192,141,596,389,182,214,412,915,81,59,183,253,1193,227,468,850,448,750,750,345,329,611,119,1483,221,80,403,449,892,369,2084,265,291,1353,500,833,795,625,539,226,165,559,1105,66,718,476,3553,373,325,1093,1029,1216,174,2488,965,686,340,764,2333,1102,1004,201,79,301,424,1337,694,233,1419,484,2213,2122,643,226,1951,303,871,172,251,272,7183,430,522,99787,10117,1725,827,1425,580,7661,5843,1732,8279,1453,2129,188,12652,941,491,19,1533,9535,5310,25179,1088,76473,871333,100217,52562,40647,38026,11398,13876,13882,376,8815,1366,84714,5355,869,178,660,2408,801,23837,14386,188,459,1809,2012,66,125,306,78785,2412221,5996544,0,0,0,0,0,10127852,
64123,互联网和相关服务,329653,93881,29881,206084,677605,97837,46634,91563,31442,52648,12916,26357,69053,17372,6662,29959,21937,100198,21522,23204,22697,105702,75490,38699,20265,61650,119329,9578,7423,23744,73452,211925,34200,78780,135199,95184,135264,122812,58113,54934,66366,17093,214437,29890,14259,63029,61646,143287,55439,441086,37833,42083,216080,62983,174502,102104,115155,256785,39814,35449,22320,125044,14512,96987,85293,614717,55607,58567,144405,167016,9927,14435,30604,126051,105998,50303,110278,274334,217799,223924,34998,12117,45146,82997,261523,96353,53365,240322,86259,280841,703752,52029,31791,392391,85894,194436,31161,33312,54218,1982038,98372,96041,16598540,3097807,729158,443868,501772,230035,964143,1773023,627225,973724,355079,1816670,43077,1579897,237183,91329,4240,2845648,1008316,3556515,1298523,428941,14312559,252202,13374215,17407538,14070197,10681232,3297072,7163966,3288568,136678,4343046,1439958,2065572,2139338,93054,42964,162114,529002,184406,5357775,4764410,56573,219329,340935,438596,94523,53663,200508,20634582,8688286,22639298,0,0,0,0,0,210834514,
65124,软件服务,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208053,17351208,4997591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51221,589077,0,328686631,0,25876148,22923657,355836273,
65125,信息技术服务,6073,1016,1943,10291,1827,148189,48166,134963,34254,180740,28503,44961,159149,83395,5560,109787,52375,165709,71815,81080,59956,385916,131353,307811,132759,50225,219873,25696,28903,151809,208082,614820,113866,445960,129650,165705,110299,208052,110629,1084090,70729,78967,228872,52064,122878,485042,165407,384075,326480,1024321,68487,113126,504076,22144,136103,145606,31877,101800,7132,48279,158218,235670,77946,211999,225609,581066,89327,156410,1194512,242117,195937,34573,380768,141126,98660,87045,344522,282168,892509,643051,262639,88768,225055,332952,444186,378527,566941,286853,432375,6322086,1259070,57828,296265,15025753,466379,348909,7733,38084,34945,1358711,205020,194455,1169058,153124,608745,358913,1537547,438410,3575905,2859079,294531,534874,895286,1100385,1571,182206,1005215,553521,407911,6020108,4799554,847227,309952,117806,3705945,191772,15281682,21017028,11320711,6658499,1845246,2325744,2833615,342963,6830626,1135060,2382844,2356559,50719,33170,1109178,296681,249493,431744,462952,2014,587111,16112,38598,13272,19326,1749,5156085,1446225,13523337,0,0,0,3454368,3097855,174872979,
