代码,部门名称,农产品,林产品,畜牧产品,渔产品,农、林、牧、渔服务产品,煤炭开采和洗选产品,石油和天然气开采产品,黑色金属矿采选产品,有色金属矿采选产品,非金属矿采选产品,开采辅助活动和其他采矿产品,谷物磨制品,饲料加工品,植物油加工品,糖及糖制品,屠宰及肉类加工品,水产加工品,蔬菜、水果、坚果和其他农副食品加工品,方便食品,乳制品,调味品、发酵制品,其他食品,酒精和酒,饮料,精制茶,烟草制品,棉、化纤纺织及印染精加工品,毛纺织及染整精加工品,麻、丝绢纺织及加工品,针织或钩针编织及其制品,纺织制成品,纺织服装服饰,皮革、毛皮、羽毛及其制品,鞋,木材加工和木、竹、藤、棕、草制品,家具,造纸和纸制品,印刷和记录媒介复制品,工艺美术品,文教、体育和娱乐用品,精炼石油和核燃料加工品,煤炭加工品,基础化学原料,肥料,农药,涂料、油墨、颜料及类似产品,合成材料,专用化学产品和炸药、火工、焰火产品,日用化学产品,医药制品,化学纤维制品,橡胶制品,塑料制品,水泥、石灰和石膏,石膏、水泥制品及类似制品,砖瓦、石材等建筑材料,玻璃和玻璃制品,陶瓷制品,耐火材料制品,石墨及其他非金属矿物制品,钢,钢压延产品,铁及铁合金产品,有色金属及其合金,有色金属压延加工品,金属制品,锅炉及原动设备,金属加工机械,物料搬运设备,泵、阀门、压缩机及类似机械,烘炉、风机、包装等设备,文化、办公用机械,其他通用设备,采矿、冶金、建筑专用设备,化工、木材、非金属加工专用设备,农、林、牧、渔专用机械,医疗仪器设备及器械,其他专用设备,汽车整车,汽车零部件及配件,铁路运输和城市轨道交通设备,船舶及相关装置,其他交通运输设备,电机,输配电及控制设备,电线、电缆、光缆及电工器材,电池,家用器具,其他电气机械和器材,计算机,通信设备,广播电视设备和雷达及配套设备,视听设备,电子元器件,其他电子设备,仪器仪表,其他制造产品,废弃资源和废旧材料回收加工品,金属制品、机械和设备修理服务,电力、热力生产和供应,燃气生产和供应,水的生产和供应,住宅房屋建筑,体育场馆和其他房屋建筑,铁路、道路、隧道和桥梁工程建筑,其他土木工程建筑,建筑安装,建筑装饰、装修和其他建筑服务,批发,零售,铁路旅客运输,铁路货物运输和运输辅助活动,城市公共交通及公路客运,道路货物运输和运输辅助活动,水上旅客运输,水上货物运输和运输辅助活动,航空旅客运输,航空货物运输和运输辅助活动,管道运输,多式联运和运输代理,装卸搬运和仓储,邮政,住宿,餐饮,电信,广播电视及卫星传输服务,互联网和相关服务,软件服务,信息技术服务,货币金融和其他金融服务,资本市场服务,保险,房地产,租赁,商务服务,研究和试验发展,专业技术服务,科技推广和应用服务,水利管理,生态保护和环境治理,公共设施及土地管理,居民服务,其他服务,教育,卫生,社会工作,新闻和出版,广播、电视、电影和影视录音制作,文化艺术,体育,娱乐,社会保障,公共管理和社会组织,农村居民消费支出,城镇居民消费支出,政府消费支出,固定资本形成总额,存货变动,出口,进口,总产出,
39093,其他电子设备,0,0,55270,0,63787,256969,4159,2014,2046,20158,233,20468,3526,6987,184,137456,8445,19275,9497,40677,39015,93810,15202,31412,5899,18953,29102,55,2565,10404,11771,2627,13950,3708,225,21168,3894,78817,50965,5442,84208,15617,9095,32794,520,5248,5438,78241,54432,265372,2042,12886,497001,17733,24289,77292,52252,125071,1603,8970,1540,554189,363,30811,21482,516876,12491,195488,289745,39441,141427,158089,159583,70376,12220,70953,268071,643215,1331265,1678663,283476,4152,322398,195534,708116,24588,261119,213095,123880,1505917,1282718,383031,734947,3282155,3139318,228691,211632,3608,152061,1361913,25275,32896,1544582,166297,447209,214294,174911,152279,791741,363322,142453,103475,340606,698175,1029,8579,47564,577911,7502,574392,1844405,0,350178,534555,89069,7468,598463,231102,63740,198003,43101,79369,32423,29829,0,121047,232822,27307,643,16526,82268,216849,60827,74346,1125,460,12828,7018,66290,32862,69014,0,196222,699210,2971525,0,15700990,2123193,0,0,56308439,
40094,仪器仪表,6153,74,1966,28580,1721,60954,852918,75558,13542,6517,354007,3271,179,5729,3873,13885,98518,2668,2160,731,1750,18557,15587,7496,137,5472,11181,656,1032,5766,4742,166970,701,596,12341,1126,45511,1140,2087,47584,982627,14187,115820,90180,20967,31217,115324,83298,10855,36057,16023,25894,138105,263832,127752,10731,202479,9097,943,10712,35071,253198,10784,39880,21182,166091,253614,538489,303512,905613,285607,185465,563741,956021,761924,32765,1562375,1286610,1760546,756992,165072,1578784,1351017,859594,3143292,287565,9636,263839,522888,391480,790952,1922095,175600,2432053,426463,14365988,183653,98597,217082,15836219,130940,86288,1044600,93463,74863,35264,1809341,117611,55,9654,11377,9545,61508,5691,1314,11958,829,5692,1304,26714,9735,18970,6627,481,613752,140544,323784,2869,227,12621,0,0,14507,40483,138590,8862833,21051462,1339508,93467,311775,171251,242454,821449,4986276,308100,538,87,15323,278732,14075,5540,489,234472,923037,3042622,0,12907352,-3365691,24006452,43841030,97162660,
41095,其他制造产品,19006,5265,9555,9390,14247,284418,72351,29381,32176,28166,90349,55208,89674,33542,23556,5237,1916,88119,17192,10814,20933,34688,10404,9607,4310,45878,68736,23763,16533,17918,27225,972482,27652,19710,40413,49981,140780,9042,25538,50164,232755,27762,27691,4436,5344,7471,97057,74189,37669,19363,11213,11451,124098,130613,63555,10364,32839,13755,8085,22291,168811,374286,3129,18325,73272,628393,13116,6543,77015,109717,964,170352,9723,76381,29475,14020,12116,28876,150906,168381,364093,65679,129767,92457,140107,70073,35979,83771,237356,251119,329613,31455,42134,133492,177373,110927,1217029,19288,55778,675646,38942,17254,1294584,161298,63897,30618,12805,29782,45227,27201,16790,47978,43926,9823,24,11587,13813,2118,12812,102299,79470,0,155222,31110,94320,17536,81728,0,0,41599,4778,1111,1190025,266429,7669909,1607927,3701547,1582120,25088,20324,642586,909799,1213023,209976,98709,83953,131132,78871,156113,54989,162271,0,161082,1188016,3366560,0,0,-926329,9696390,1014115,44660301,
42096,废弃资源和废旧材料回收加工品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11530,1221,1170,2714,5257,1340,23085,2943,65260,14331,12641197,3085,114180,12653,50176,16207,169079,7863,0,162844,368142,147255,0,0,434842,667630,2020081,0,519026,360826,1026399,0,0,0,8216989,39747965,4253386,12980194,573883,7833340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11836489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1177488,1651219,5942120,98824192,
43097,金属制品、机械和设备修理服务,55005,7776,21646,17638,5220,121097,74543,34449,56594,18352,43392,10421,16558,12625,2982,10393,3870,11889,5855,18736,25424,16362,15870,8932,22432,17738,7052,7007,2162,12814,30852,29267,17699,35756,15451,56999,38383,38137,52564,35696,150797,85926,109308,52694,85707,31560,102721,37856,56887,94525,48817,22680,97301,664540,72205,18908,32875,21522,12884,619384,112218,160780,55602,126597,119085,172424,95601,66337,96651,89330,52489,8385,84281,63558,140996,34018,162111,299741,133146,395385,26068,1704,25289,107014,20576,11197,41947,68654,44528,106719,154165,9350,25553,67225,25043,27855,34500,4101,17833,2990169,115915,71848,861615,87356,411760,197307,329997,401668,33814,27498,1394,4317,48032,15438,1102,52395,261305,131693,439582,24318,58562,29132,14619,4239,137222,49559,39184,25811,17627,17047,5751,2062,96898,603315,414709,175926,123691,33321,11308,44409,42666,11735,9113,55917,31241,2578,4707,15891,10644,6594,5034,5679,431576,0,0,0,1945824,0,5279719,2317558,20697060,
44098,电力、热力生产和供应,8752160,154177,356236,678543,691394,8492039,3827930,3774322,4293648,6525462,481039,919756,1074014,473177,236005,509791,137320,1236215,251302,199709,442641,1181383,411603,771028,172979,320288,4607725,152616,371253,643087,617315,2035764,148090,695456,3929084,1269539,5337760,585599,521505,1006714,7305710,1613024,25958176,3687164,592140,738803,3813588,3820960,323147,4492910,2551190,1251645,5178202,13334321,6340475,6393096,3329398,2684809,1501488,2927896,2400589,28754113,3615709,23851862,4841902,23642421,578406,1073336,501245,1407730,1431787,86938,3957957,1267110,1010722,255124,875380,2418369,1776453,4013015,630337,496180,482000,749414,2004722,1609730,1497802,1104685,1334650,895874,1986222,383143,129189,6309391,564592,1234823,993273,494301,536766,207763090,1989259,5177396,12000000,2371170,7826205,3957890,14504147,1126480,4964244,7688857,2679925,4639186,3374462,1396478,1518,29054,7546,107026,1071082,585055,1513810,1154487,2881956,1289277,5482681,294454,3047424,265189,397459,3649558,542404,150144,4550954,389942,3395591,3096348,1486373,1002955,575156,540424,1923841,2349189,1076422,3442353,2978323,212312,253894,259043,120660,232022,701231,67340,7150978,12007735,49517678,0,0,0,1045040,123218,699502566,
45099,燃气生产和供应,91492,9428,18983,12844,25987,28901,21480,3278,666,19266,66418,30612,4190,5479,9378,3027,1074,35665,71319,853,42438,153959,28209,17414,19979,19758,34005,9809,9087,14459,19772,28252,25635,46784,9604,16601,366280,15520,16849,31011,702159,115485,1103492,128255,2334,10174,12363,745957,8056,3229,0,1362,3677,0,0,0,1413,225922,13068,513,7124,222209,4493,62816,7042,440099,9916,21060,86082,29572,740,35504,169,73970,62104,32275,44818,93235,36249,68058,45541,28361,62320,17988,47503,89179,41160,44619,9882,27413,13533,6687,10339,60053,9812,11832,166373,101436,153532,1999455,9988215,577,39629,4018,0,0,0,0,19711,89019,0,0,19040533,337314,608,7423,730,10808,11520,23775,200024,28918,577313,1985825,25893,16554,37438,0,0,14813,5439,9675,2003956,115964,345328,181897,94250,117635,56987,7753,67887,1000980,106451,533950,245108,8789,59066,28776,62453,41880,87821,0,214559,1394219,32378337,0,0,893409,0,0,81271005,
46100,水的生产和供应,1251,22459,241,3797,13568,56861,66725,16355,10968,48179,15290,38612,58813,18072,10250,141416,79495,135243,38316,41090,102551,173200,93759,219054,12746,14246,48627,13582,6089,19661,31265,64935,20994,75428,65084,53284,145085,86860,40152,51704,84334,64995,181938,61973,10683,60521,31040,63149,12806,235131,58901,43019,107775,86377,142256,98524,81251,79208,27957,17160,67105,190533,55940,40671,70115,157179,31918,44133,24491,56009,41493,8839,133598,42883,41187,13589,19163,68728,59386,107987,26665,27672,66800,58693,114610,59319,74737,65918,32379,55634,129596,6226,7769,218683,47746,66995,42913,115659,23583,1234129,36613,2092919,1453801,147395,442220,211903,380444,258400,176503,375554,15010,42890,175579,54559,206,13854,5107,35347,22555,21239,72987,36909,682045,479713,142780,13550,73269,32381,7714,224571,12474,130590,556423,58866,60357,505701,34720,91118,32533,52413,224286,250985,175839,435483,288390,28523,12320,29544,57646,38050,135675,3523,591066,2708952,18088343,0,0,891741,0,0,40678552,
47101a,住宅房屋建筑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163405832,0,4900683,3130322,1165176192,
47101b,体育场馆和其他房屋建筑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200906633,0,423351,270416,201059567,
